point cloud,r0,r1,r2,r3,r4,r5,r6
./output/longdress_vox10_1300,0.4,0.316,0.246,0.152,0.092,0.047,0.024
bits,344072.0,271640.0,211960.0,131264.0,79176.0,41208.0,21240.0
psnr_d1,75.1434792,74.3685649,73.6109425,71.935294,69.9330756,66.2619158,60.9032256
psnr_d2,79.2452395,78.3340193,77.5295892,75.374386,72.9646606,69.4163068,63.6577308
./output/loot_vox10_1200,0.397,0.311,0.242,0.149,0.089,0.047,0.024
bits,319488.0,250584.0,194768.0,119720.0,71896.0,38088.0,19392.0
psnr_d1,75.4572949,74.7198921,73.9012998,72.2002803,70.1694179,67.1456268,61.66671
psnr_d2,79.42424,78.5747163,77.6796499,75.5911081,73.1391119,70.1799002,64.8130483
./output/redandblack_vox10_1550,0.40900000000000003,0.325,0.255,0.157,0.095,0.05,0.026
bits,310640.0,246296.0,193656.0,119576.0,72304.0,38152.0,20120.0
psnr_d1,74.2598752,73.5531729,72.8699758,70.9838884,69.0031359,65.8026727,61.341013
psnr_d2,78.3482007,77.532904,76.7654491,74.735405,72.4468806,69.5242828,64.6417441
./output/soldier_vox10_0690,0.40700000000000003,0.321,0.251,0.154,0.093,0.049,0.025
bits,443552.0,349976.0,273920.0,168328.0,101168.0,53360.0,27528.0
psnr_d1,75.2305,74.4138116,73.6145627,71.5480578,69.5378855,66.2599642,61.5737526
psnr_d2,79.2558527,78.2909274,77.4018071,74.9921495,72.5371954,69.4427722,64.3231531
./output/andrew_vox9_frame0000,0.36800000000000005,0.30000000000000004,0.241,0.148,0.09,0.045,0.025
bits,103008.0,83960.0,67456.0,41528.0,25344.0,12832.0,7184.0
psnr_d1,66.6962736,66.3334174,65.9481602,64.6596441,63.1204624,59.8547291,56.1760253
psnr_d2,70.2473667,69.7658879,69.2873901,67.7484966,65.8639576,63.5653757,59.388314
./output/david_vox9_frame0000,0.381,0.309,0.246,0.152,0.092,0.048,0.027
bits,126288.0,102320.0,81624.0,50544.0,30696.0,16008.0,9120.0
psnr_d1,66.9061922,66.5201195,66.0925318,64.9148666,63.3651948,60.3001341,56.0171781
psnr_d2,70.8644827,70.3278041,69.7571032,68.2170287,66.247251,63.9184109,60.1600202
./output/phil_vox9_frame0139,0.382,0.31,0.25,0.154,0.095,0.047,0.026
bits,136328.0,110792.0,89392.0,55304.0,34256.0,17096.0,9640.0
psnr_d1,66.7200469,66.3338475,65.8791524,64.6250713,62.9534242,59.2955852,55.696831
psnr_d2,70.2903821,69.8221695,69.2822782,67.7075294,65.8182302,63.073919,58.4540696
./output/sarah_vox9_frame0023,0.384,0.31,0.247,0.152,0.093,0.049,0.028
bits,114936.0,93032.0,74024.0,45752.0,27952.0,14856.0,8496.0
psnr_d1,66.977977,66.6202987,66.3497698,64.9895168,63.4836403,60.6944827,57.1513168
psnr_d2,70.7922277,70.300413,69.7495683,68.1954287,66.2501675,63.9605828,60.04637
./output/basketball_player_vox11_00000200,0.375,0.29000000000000004,0.22,0.133,0.077,0.041999999999999996,0.02
bits,1096584.0,846680.0,642480.0,386968.0,225792.0,122064.0,57800.0
psnr_d1,82.7608015,81.956072,81.166469,79.5736425,77.8340538,75.8062604,70.0207161
psnr_d2,86.9834332,86.041546,85.1399786,83.1894766,81.0560658,78.8449734,72.5199806
./output/dancer_vox11_00000001,0.375,0.29000000000000004,0.221,0.134,0.079,0.041999999999999996,0.02
bits,970464.0,751008.0,572992.0,346088.0,204080.0,108104.0,51256.0
psnr_d1,82.7259473,81.896952,81.1363936,79.3714305,77.6623778,75.2213142,69.2153258
psnr_d2,86.7094651,85.7311989,84.8345151,82.8268171,80.5763548,78.1102446,71.203528
./output/exercise_vox11_00000001,0.372,0.28900000000000003,0.221,0.135,0.08,0.041999999999999996,0.02
bits,889976.0,689280.0,526472.0,321120.0,190024.0,99176.0,46904.0
psnr_d1,82.7840433,81.964834,81.1981785,79.5809276,77.8762197,75.241719,69.0376104
psnr_d2,86.7398997,85.7486131,84.8635325,82.9208468,80.7375695,78.1155591,71.043834
./output/model_vox11_00000001,0.371,0.28800000000000003,0.221,0.13599999999999998,0.081,0.039999999999999994,0.018
bits,912216.0,709720.0,545872.0,336264.0,200128.0,99728.0,45592.0
psnr_d1,82.5179316,81.665229,80.942796,78.9681831,77.1404132,73.7298557,67.1578868
psnr_d2,86.2619166,85.2172236,84.3549689,82.2991372,79.8101277,76.493119,69.4567678
./output/queen_0200,0.33,0.26,0.19999999999999998,0.122,0.073,0.037,0.018
bits,330200.0,259896.0,200608.0,122376.0,72544.0,36768.0,17944.0
psnr_d1,76.3403882,75.6597281,74.9975772,73.3751863,71.5658514,68.4668811,63.0444588
psnr_d2,80.3690602,79.6041104,78.7828647,76.7040187,74.2621253,70.936448,65.2094964
